_2010_census_tract,additional_information,address,agency_name,ages_served,bbl,bin,borough,city_council_district,community_board,contact_phone,contacts_email,data_source,email,facilityname,free_self_tests,hours_friday,hours_monday,hours_saturday,hours_sunday,hours_thursday,hours_tuesday,hours_wednesday,latitude,longitude,nta,organization_phone,payment_cost,phone_number,service_type,special_populations_served,website,zip_code,zipcode
,,Ryan/Adair Community Health Center,William F. Ryan Community Health Network,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,9:00am-5:00pm,9:00am-5:00pm,,,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,,,,,,212-222-5221,,,http://www.ryancenter.org/find.htm,10027,
,,Planned Parenthood The Bronx Center,Planned Parenthood-New York City Chapter,All ages. Parental consent not required,,,BRONX,,,,,NYC Open Data: hiv_testing,,,TRUE,8:00 AM - 6:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,CLOSED,8:00 AM - 6:30 PM,8:00 AM - 4:30 PM,8:00 AM - 6:30 PM,,,,,Yes,(212) 965-7000,,,http://www.plannedparenthood.org/health-center/new-york/bronx/10451/the-bronx-center-2524-91110,10451,
,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,HHC East New York Diagnostic and Treatment Center,HHC East New York Diagnostic and Treatment Center,,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,CLOSED,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,,,,,Yes,(718) 240-0400,,,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-EastNY.shtml,11207,
,,Housing Works Community Health Care - East New York Health Center,Housing Works Housing Works,,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,FALSE,CLOSED,9:00AM - 5:00PM,,9:00AM - 3:00PM,9:00AM - 9:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,,,,,,718-277-0386,,,,11208,
,,Community Healthcare Network - CABS Health Center,Community Healthcare Network,13 and over.,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 4:00PM,CLOSED,9:00AM - 5:00PM,12:30 PM - 6:00 PM,10:00AM - 6:00PM,,,,,Yes,(718) 388-0390,,,http://www.chnnyc.org/our-locations/cabs-health-center,11206,
,,BronxWorks HIV Prevention for Adolescents,BronxWorks,,,,BRONX,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(718) 508-3049,,,http://www.bronxworks.org/,10456,
,,Jamaica STD Clinic,NYC DOHMH STD Control,13 and over.,,,QUEENS,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 3:00 PM,8:30 AM - 3:00 PM,CLOSED,CLOSED,8:30 AM - 3:00 PM,8:30 AM - 3:00 PM,8:30 AM - 3:00 PM,,,,,,N/A,,,,11432,
,,Community Healthcare Network - Queens Health Center,Community Healthcare Network,13 and over.,,,QUEENS,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00AM - 5:00PM,10:00AM - 6:00PM,8:30AM - 3:30PM,CLOSED,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,,,,,Yes,(718)-657-7088,,All,http://www.chnnyc.org/our-locations/queens-health-center,11435,
,,Planned Parenthood Diane L. Max Health Center (Queens),Planned Parenthood-New York City Chapter,,,,QUEENS,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,212-965-7000,,,https://www.plannedparenthood.org/health-center/new-york/queens/11101/diane-l.-max-health-center-4184-91110,11101,
,,Callen Lorde Community Health Center,Callen Lorde Community Health Center,16 and over. No parental consent requred.,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 4:30 PM,8:30 AM -8:30 PM,8:30 AM - 3:30 PM,CLOSED,8:30 AM - 8:30 PM,8:30 AM - 8:30 PM,8:30 AM - 8:30 PM,,,,,Yes,212-271-7200,,All,www.callen-lorde.org,10011,
,,Ryan-NENA Community Health Center,William F. Ryan Community Health Network,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,8:30 am - 4:30 pm,8:30 am - 7:00 pm,9:30 am - 1:00 pm,,8:30 am - 7:00 pm,8:30 am - 4:30 pm,8:30 am - 4:30 pm,,,,,,212-477-8500,,,http://www.ryancenter.org/find.htm,10009,
,,HIV Law Project,HIV Law Project,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(212) 577-3001,,,,10038,
,,Bronx Community Health Network - Corporate,Bronx Community Health Network,,,,BRONX,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(718) 405-7720,,,http://www.bchnhealth.org/,10458,
,,Arthur Ashe Institute for Urban Health,Arthur Ashe Urban Health,,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,718-222-5953,,,http://www.arthurasheinstitute.org/arthurashe/home/,11201,
,,Destination Tomorrow,Destination Tomorrow,,,,BRONX,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,646-723-3325,,,,10474,
,,The Institute for Family Health,The Institute for Family Health,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(212) 633-0800,,,,10003,
,,The Oval Center at Montefiore,Montefiore Medical Center,,,,BRONX,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,718-882-5482,,,http://www.montefiore.org/std,10467,
,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,HHC Ida G. Israel Community Health Center,HHC Ida G. Israel Community Health Center,13 and over.,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 5:00 PM,8:30 AM - 7:00 PM,8:30 AM - 1:00 PM,CLOSED,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,,,,,Yes,(718) 946-3400,,,,11224,
,,Community Healthcare Network - Family Health Center,Community Healthcare Network,13 and above.,,,QUEENS,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00 AM - 5:00 PM,10:00 AM - 6:00 PM,8:30 AM - 3:30 PM,CLOSED,9:00 AM - 5:00 PM,11:00 AM- 7:00 PM,9:00 AM - 5:00 PM,,,,,Yes,(718)-523-2123 ,,All,http://www.chnnyc.org/our-locations/family-health-center,11432,
,,Crown Heights STD Clinic,NYC DOHMH STD Control,13 and over.,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 3:30 PM.,8:30 AM - 3:30 PM.,CLOSED,CLOSED,8:30 AM - 3:30 PM.,8:30 AM - 3:30 PM.,8:30 AM - 3:30 PM.,,,,,,N/A,,,,11213,
,,Central Harlem STD Clinic,NYC DOHMH STD Control,13 and over.,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 3:30 PM,CLOSED,8:30 AM - 3:30 PM,CLOSED,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,,,,,,N/A,,,,10037,
,,MIC Women's Health Services - Fort Greene,MIC Women's Health Center,,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Every other Sat: 8:30 AM - 4:00 PM,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,,,(718) 522-1144,,,,11201,
,,Charles B Wang Community Health Center - Women's Health Clinic,Charles B Wang Community Health Center - Teens,,,,QUEENS,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(718) 886-1212,,,http://www.cbwchc.org/wh.asp,11354,
,,Community Healthcare Network - Bronx Health Center,Community Healthcare Network,13 and over,,,BRONX,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00AM - 5:00PM,9:00AM - 6:00PM,8:30AM - 3:30PM,CLOSED,9:00AM - 7:00PM,9:00AM - 5:00PM,10:00AM - 6:00PM,,,,,Yes,(718) 320-4466,,All,http://www.chnnyc.org/our-locations/bronx-health-center,10459,
,,Charles B Wang Community Health Center - Teens,Charles B Wang Community Health Center - Teens,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(212) 226-3888,,,,10013,
,,Community Healthcare Network - Mobile Unit,Community Healthcare Network,,,,,,,,,NYC Open Data: hiv_testing,,,TRUE,1:00PM - 9:00PM,CLOSED,CLOSED,CLOSED,12:00PM - 8:00PM,1:00PM - 9:00PM,CLOSED,,,,,Yes,(212) 545-2495,,,"http://www.chnnyc.org/find-us/mobile-van, https://www.facebook.com/CommunityHealthcareNetwork, https://www.twitter.com/chnnyc",,
,,NYC DOHMH HIV/AIDS Prevention and Control,NYC DOHMH HIV/AIDS Prevention and Control,,,,QUEENS,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,,,,http://www.nyc.gov/html/doh/html/living/std-hiv.shtml,11101,
,,Riverside STD Clinic,NYC DOHMH STD Control,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 3:00 PM,CLOSED,8:30 AM - 3:00 PM,,"8:30 AM - 3:00 PM, 5:00 PM - 7:00 PM","8:30 AM - 3:00 PM, 5:00 PM - 7:00 PM",8:30 AM - 3:00 PM,,,,,,N/A,,,,10025,
,,Chelsea STD Clinic **CLOSED AS OF 3/23**,NYC DOHMH STD Control,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,,,,,10001,
,,Community Health Action of Staten Island- Main Office,Community Health Action of Staten Island (CHASI),,,,STATEN ISLAND,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,718-808-1300,,,http://chasiny.org,10301,
,,NYC Family Justice Center,Mayor's Office,,,,BRONX,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,212-639-9675; 311; 911,,,www.nyc.gob/domesticviolence,10451,
,,Urban Health Plan Plaza Del Castillo Health Center,Urban Health Plan,18 and over.,,,BRONX,,,,,NYC Open Data: hiv_testing,,,FALSE,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,9:00 AM- 1:00 PM,CLOSED,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,,,,,Yes,(718) 589-1600,,,http://www.urbanhealthplan.org/content/plaza-del-castillo-health-center,10460,
,,Hetrick-Martin Institute,Hetrick-Martin Institute,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,3:15-5PM,3:15-5PM,11-4PM,N/A,3:15-5PM,3:15-5PM,3:15-5PM,,,,,,(212) 674-2400,,,http://www.hmi.org/,10003,
,,MHHC Women's Health Pavillion,Morris Heights Health Center,,,,BRONX,,,,,NYC Open Data: hiv_testing,,,TRUE,8:00 AM - 7:00 PM,8:00AM - 8:00PM,8:00 AM - 7:00 PM,CLOSED,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,,,,,,(718) 716-2229,,,http://www.mhhc.org/locations/womens-health-and-birthing-pavilion/,10453,
,,Manhattanville Renaissance STD Clinic,NYC DOHMH STD Control,13 and over.,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,CLOSED,CLOSED,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,,,,,,N/A,,,,10027,
,,Planned Parenthood Boro Hall Center (Brooklyn),Planned Parenthood-New York City Chapter,"All, no parental consent required",,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,8:00 AM - 4:30 PM,8 AM - 4:30 PM,8:30 AM - 4 PM,CLOSED,8:00 AM - 7:00 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,,,,,Yes,(212) 965-7000,,,http://www.plannedparenthood.org/health-center/new-york/brooklyn/11201/boro-hall-center-2522-91110,11201,
,,Brownsville Multi-Service Family Health Center - Institute for Speciality and Integrative Services,Brownsville Multi-Service Family Health Center,18 and over.,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,FALSE,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,CLOSED,CLOSED,8:30 AM - 7:00 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,,,,,Yes,(718) 345-5000 ext. 4719,,All,www.bmsfhc.wix.com/bms-family-health,11212,
,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,HHC Segundo Ruiz Belvis Diagnostic and Treatment Center,HHC Segundo Ruiz Belvis Diagnostic and Treatment Center,,,,BRONX,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,CLOSED,CLOSED,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,,,,,Yes,(718) 579-4000,,,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Belvis.shtml,10454,
,,Community Health Center of Richmond,Community Health Center of Richmond,13+. No parental consent required.,,,STATEN ISLAND,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30am-4:30pm,8:30am-8:30pm,8:30am-12:30pm,,8:30am-10pm,8:30am-10pm,8:30am-8:30pm,,,,,,(718) 876-1732,,Yes,chcrichmond.org,10302,
,,IFH Walton Family Health Center,The Institute for Family Health,13 and over. Parental consent not required.,,,BRONX,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 4:30 PM,8:30 AM - 7:30 PM,Adults only: Sat: 8:30 AM - 3:00 PM,CLOSED,10:00 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,,,,,,(718) 583-3060,,,,10453,
,,Renaissance Health Care Network Diagnostic and Treatment Center,NYC DOHMH,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(212) 932-6500,,,,10027,
,,Puerto Rican Family Institute,Puerto Rican Family Institute,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(212)924-6320,,,,10011,
,,Audubon Family Planning Center,Audubon Family Planning Center,13 to 19.,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00 AM - 5:00 PM,8:00 AM - 8:30 PM,CLOSED,CLOSED,8:00 AM - 5:00 PM,8:00 AM - 7:30 PM,8:00 AM - 7:30 PM,,,,,,(866) 463-2778,,,http://www.youngmensclinic.org/,10032,
,,Clinic - Lenox Avenue,Clinic - Lenox Avenue,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00 AM - 7:00 PM,11:00 AM - 7:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,,Yes,(212) 961-5742,,Female and LGBTQI,,10026,
,,439 Port Richmond Avenue,Community Health Center of Richmond,13+. No parental consent required.,,,STATEN ISLAND,,,,,NYC Open Data: hiv_testing,,,TRUE,8am-5pm,8am-5pm,,,8am-5pm,8am-5pm,8am-5pm,,,,,,(718) 876-1732,,All,chcrichmond.org,10302,
,,Community Healthcare Network - Seward Park Campus SBHC,Community Healthcare Network,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,TRUE,OPEN DURING SCHOOL HOURS,OPEN DURING SCHOOL HOURS,CLOSED,CLOSED,OPEN DURING SCHOOL HOURS,OPEN DURING SCHOOL HOURS,OPEN DURING SCHOOL HOURS,,,,,Yes,212-432-8490,,,http://www.chnnyc.org/our-locations/seward-park-campus-sbhc,10002,
,,Institute for Community Living,Institute for Community Living,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(212) 385-3030,,,,10004,
,,Staten Island LGBT Community Center,Staten Island LGBT Community Center,,,,,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,,,,,,
,,Lutheran Medical Center - Sunset Park Terrace/Women's Health Achieve Clinic,NYU Lutheran Medical Center,13 and over. Parental consent not required. Private insurances accepted.,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,9:00 AM - 4:00 PM,CLOSED,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,,,,,Yes,(718) 630-6891,,,,11220,
,,Planned Parenthood Staten Island Center,Planned Parenthood-New York City Chapter,13 and over. Parental consent not required.,,,STATEN ISLAND,,,,,NYC Open Data: hiv_testing,,,FALSE,CLOSED,9 AM - 6:30 PM,CLOSED,CLOSED,9 AM - 7:30 PM,CLOSED,9 AM - 6:30 PM,,,,,Yes,(212) 965-7000,,,http://www.plannedparenthood.org/health-center/new-york/staten-island/10301/staten-island-center-3978-91110,10301,
,,NY State DOH AIDS Institute,New York State Health Department,,,,,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,1-800-541-AIDS,,,http://www.health.ny.gov/diseases/aids/,12237,
,,East New York Community Health Center,Housing Works Housing Works,Under 14 years - Parental Consent Necessary,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00 AM- 5:00 PM,9:00 AM- 5:00 PM,,,9:00 AM- 5:00 PM,9:00 AM- 5:00 PM,9:00 AM- 5:00 PM,,,,,,718-827-8700,,All,,,
,,NYC DOHMH STD Control,NYC DOHMH,,,,,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,,,,,,
,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,HHC Morrisania Diagnostic and Treatment Center,HHC Morrisania Diagnostic and Treatment Center,,,,BRONX,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,,Yes,(718) 960-2777,,,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Morrisania.shtml,10452,
,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,HHC Renaissance Healthcare Network Diagnostic and Treatment Center,HHC Renaissance Healthcare Network Diagnostic and Treatment Center,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,,Yes,(212) 932-6500,,,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Renaissance.shtml,10027,
,,IFH Urban Horizons Family Health Center,The Institute for Family Health,13 and over. Parental consent not required.,,,BRONX,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,"2nd and 4th Saturdays, 8:30 AM - 5:30 PM",CLOSED,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,,,,,,(718) 293-3900,,,,10452,
,,Adolescent and GYN Sexual Health Services - Long Island Jewish Medical Center,North Shore LIJ,,,,QUEENS,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,516-465-3270,,,,11042,
,,Community Healthcare Network - Administration Office,Community Healthcare Network,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(212) 545-2439,,,http://www.chnnyc.org/,10010,
,,MIC Women's Health Services - Bushwick,MIC Women's Health Center,,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(718) 443-9300,,,,11221,
,,Morrisania STD Clinic,NYC DOHMH STD Control,13 and over.,,,BRONX,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,CLOSED,CLOSED,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,,,,,,N/A,,,,10456,
,,Staten Island LGBT Center,Community Health Action of Staten Island (CHASI),13+,,,STATEN ISLAND,,,,,NYC Open Data: hiv_testing,,,TRUE,1:00 PM- 8:00 PM,1:00 PM- 8:00 PM,CLOSED,CLOSED,1:00 PM- 8:00 PM,1:00 PM- 8:00 PM,1:00 PM- 8:00 PM,,,,,,718-808-1360,,All,http://chasiny.org,10301,
,,Union Community Health Center Family Practice Site,Union Community Health Center,13 and over. Parental consent not required.,,,BRONX,,,,,NYC Open Data: hiv_testing,,,FALSE,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,,Yes,(718) 960-3805,,,,10458,
,,Community Healthcare Network - Long Island City Health Center,Community Healthcare Network,13 and over.,,,QUEENS,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:30 AM- 3:30 PM,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,,Yes,(718)-482-7772,,All,http://www.chnnyc.org/our-locations/long-island-city-health-center,11106,
,,Muslim Women's Institute for Research and Development,Muslim Women's Institute for Research and Development,,,,BRONX,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(718) 960-2262,,,,10452,
,,MIC Women's Health Services - Eastern Parkway,MIC Women's Health Center,13 and over.,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,,,(718) 498-1001,,,,11233,
,,NYP/Columbia University Medical Center - Harkness Pavillion,New York Presbyterian Hospital,"Not for testing, consent required for care",,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 4:00PM,8:30 AM - 4:00PM,CLOSED,CLOSED,8:30 AM - 4:00PM,8:30 AM - 4:00PM,8:30 AM - 4:00PM,,,,,Yes,(212) 342-1687,,,,10032,
,,Bronx - Lebanon HIV Testing Administrative Office,Bronx - Lebanon Hospital Center,14 and over. Parental consent not required.,,,BRONX,,,,,NYC Open Data: hiv_testing,,,FALSE,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,CLOSED,CLOSED,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,,,,,Yes,(718) 960-1480,,,http://www.bronxcare.org/,10452,
,,Community Health Project,Callen Lorde Community Health Center,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(212) 627-3769,,,,10011,
,,Fort Greene STD Clinic,NYC DOHMH STD Control,13 and over.,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,8:30 AM - 3:30 PM,CLOSED,8:30 AM - 3:30 PM,CLOSED,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,,,,,,N/A,,,,11201,
,,Community Health Care Association of New York State,Community Health Care Association of New York State,,,,,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(518) 434-0767,,,,,
,,Young Women of Color HIV/AIDS Coalition,Young Women of Color HIV/AIDS Coalition,,,,,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,,,,,,
,,Community Healthcare Network - Caribbean House Health Center,Community Healthcare Network,13 and over.,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00AM - 5:00PM,9:00AM - 5:00PM,8:30 AM- 3:30 PM,CLOSED,9:00AM - 5:00PM,10:00 PM - 8:00 PM,9:00AM - 5:00PM,,,,,Yes,(718) 778-0198,,All,http://www.chnnyc.org/our-locations/caribbean-house-health-center,11225,
