name,address,borough,latitude,longitude,phone,website,clinic_type,has_sti_testing,has_hiv_testing,has_prep,has_pep,hours,walk_in,data_source,notes
HHC Morrisania Diagnostic and Treatment Center,HHC Morrisania Diagnostic and Treatment Center,Bronx,,,(718) 960-2777,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Morrisania.shtml,HIV Testing,true,true,false,false,Monday: 9:00 AM - 5:00 PM; Tuesday: 9:00 AM - 5:00 PM; Wednesday: 9:00 AM - 5:00 PM; Thursday: 9:00 AM - 5:00 PM; Friday: 9:00 AM - 5:00 PM,,NYC Open Data: hiv_testing,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.
HHC Segundo Ruiz Belvis Diagnostic and Treatment Center,HHC Segundo Ruiz Belvis Diagnostic and Treatment Center,Bronx,,,(718) 579-4000,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Belvis.shtml,HIV Testing,true,true,false,false,Monday: 8:30 AM - 5:00 PM; Tuesday: 8:30 AM - 5:00 PM; Wednesday: 8:30 AM - 5:00 PM; Thursday: 8:30 AM - 5:00 PM; Friday: 8:30 AM - 5:00 PM,,NYC Open Data: hiv_testing,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.
Mayor's Office,NYC Family Justice Center,Bronx,,,212-639-9675; 311; 911,www.nyc.gob/domesticviolence,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Montefiore Medical Center,The Oval Center at Montefiore,Bronx,,,718-882-5482,http://www.montefiore.org/std,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Montefiore Medical Center,Montefiore STD Center For Excellence,Bronx,,,(718) 882-5482,,HIV Testing,true,true,false,false,Monday: 1:00 PM - 6:00 PM; Tuesday: 1:00 PM - 6:00 PM; Wednesday: 1:00 PM - 6:00 PM,,NYC Open Data: hiv_testing,
Morris Heights Health Center,MHHC Women's Health Pavillion,Bronx,,,(718) 716-2229,http://www.mhhc.org/locations/womens-health-and-birthing-pavilion/,HIV Testing,true,true,false,false,Monday: 8:00AM - 8:00PM; Tuesday: 8:00 AM - 7:00 PM; Wednesday: 8:00 AM - 7:00 PM; Thursday: 8:00 AM - 7:00 PM; Friday: 8:00 AM - 7:00 PM; Saturday: 8:00 AM - 7:00 PM,,NYC Open Data: hiv_testing,
Morrisania Sexual Health Clinic,"1309 Fulton Avenue, Second Floor, Bronx, NY 10456",Bronx,40.832794,-73.903443,,https://www.nyc.gov/site/doh/services/sexual-health-clinics.page,DOH,true,true,true,true,,true,NYC Health Department Website,
Muslim Women's Institute for Research and Development,Muslim Women's Institute for Research and Development,Bronx,40.729896,-73.996026,(718) 960-2262,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
NYC DOHMH STD Control,Morrisania STD Clinic,Bronx,,,N/A,,HIV Testing,true,true,false,false,Monday: 8:30 AM - 3:30 PM; Tuesday: 8:30 AM - 3:30 PM; Wednesday: 8:30 AM - 3:30 PM; Thursday: 8:30 AM - 3:30 PM; Friday: 8:30 AM - 3:30 PM,,NYC Open Data: hiv_testing,
Planned Parenthood-New York City Chapter,Planned Parenthood The Bronx Center,Bronx,,,(212) 965-7000,http://www.plannedparenthood.org/health-center/new-york/bronx/10451/the-bronx-center-2524-91110,HIV Testing,true,true,false,false,Monday: 8:00 AM - 4:00 PM; Tuesday: 8:00 AM - 4:30 PM; Wednesday: 8:00 AM - 6:30 PM; Thursday: 8:00 AM - 6:30 PM; Friday: 8:00 AM - 6:00 PM; Saturday: 8:00 AM - 4:00 PM,,NYC Open Data: hiv_testing,
Planned Parenthood-New York City Chapter,PPNYC Project Street Beat,Bronx,40.82301,-73.9084,(212) 965-7000,,HIV Testing,true,true,false,false,"Tuesday: 9:00 AM - 11:30 AM, 1:30 PM - 3:30 PM; Wednesday: 9:00 AM - 11:30 AM, 1:30 PM - 3:30 PM; Thursday: 9:00 AM - 11:30 AM, 1:30 PM - 3:30 PM; Friday: 1:30 PM - 3:30 PM; Saturday: 9:00 AM - 2:30 PM",,NYC Open Data: hiv_testing,
The Institute for Family Health,IFH Westchester Avenue Center,Bronx,,,(718) 239-1610,,HIV Testing,true,true,false,false,Monday: 8:30 AM - 5:00 PM; Tuesday: 8:30 AM - 5:00 PM; Wednesday: 8:30 AM - 5:00 PM; Thursday: 8:30 AM - 5:00 PM; Friday: 8:30 AM - 5:00 PM,,NYC Open Data: hiv_testing,
The Institute for Family Health,IFH Walton Family Health Center,Bronx,,,(718) 583-3060,,HIV Testing,true,true,false,false,Monday: 8:30 AM - 7:30 PM; Tuesday: 8:30 AM - 4:30 PM; Wednesday: 8:30 AM - 4:30 PM; Thursday: 10:00 AM - 4:30 PM; Friday: 8:30 AM - 4:30 PM; Saturday: Adults only: Sat: 8:30 AM - 3:00 PM,,NYC Open Data: hiv_testing,
The Institute for Family Health,IFH Urban Horizons Family Health Center,Bronx,,,(718) 293-3900,,HIV Testing,true,true,false,false,"Monday: 8:30 AM - 5:00 PM; Tuesday: 8:30 AM - 5:00 PM; Wednesday: 8:30 AM - 5:00 PM; Thursday: 8:30 AM - 5:00 PM; Friday: 8:30 AM - 5:00 PM; Saturday: 2nd and 4th Saturdays, 8:30 AM - 5:30 PM",,NYC Open Data: hiv_testing,
The Institute for Family Health,IFH Mount Hope Family Practice,Bronx,40.85017,-73.9094,(718) 583-9000,,HIV Testing,true,true,false,false,Monday: 8:30 AM - 5:00 PM; Tuesday: 8:30 AM - 5:00 PM; Wednesday: 8:30 AM - 5:00 PM; Thursday: 8:30 AM - 5:00 PM; Friday: 8:30 AM - 5:00 PM; Saturday: 8:30 AM - 12:30 PM,,NYC Open Data: hiv_testing,
The Institute for Family Health,IFH Parkchester Family Practice,Bronx,,,(718) 822-1818,,HIV Testing,true,true,false,false,Monday: 8:30 AM - 5:30 PM; Tuesday: 8:30 AM - 5:30 PM; Wednesday: 8:30 AM - 5:30 PM; Thursday: 8:30 AM - 5:30 PM; Friday: 8:30 AM - 5:30 PM,,NYC Open Data: hiv_testing,
Union Community Health Center,Union Community Health Center Family Practice Site,Bronx,40.77365,-73.96085,(718) 960-3805,,HIV Testing,true,true,false,false,Monday: 9:00 AM - 5:00 PM; Tuesday: 9:00 AM - 5:00 PM; Wednesday: 9:00 AM - 5:00 PM; Thursday: 9:00 AM - 5:00 PM; Friday: 9:00 AM - 5:00 PM,,NYC Open Data: hiv_testing,
Union Community Health Center,Union Community Health Center at 188th Street,Bronx,,,(718) 220-2020,,HIV Testing,true,true,false,false,Monday: 9:00 AM - 5:00 PM; Tuesday: 9:00 AM - 5:00 PM; Wednesday: 9:00 AM - 5:00 PM; Thursday: 9:00 AM - 5:00 PM; Friday: 9:00 AM - 5:00 PM,,NYC Open Data: hiv_testing,
Union Community Health Center,Union Community Health Center,Bronx,40.77365,-73.96085,(718) 220-2020 ext 8263,http://www.uchcbronx.org/,HIV Testing,true,true,false,false,Monday: 9:00 AM - 4:00 PM; Tuesday: 9:00 AM - 4:00 PM; Wednesday: 9:00 AM - 4:00 PM; Thursday: 9:00 AM - 4:00 PM; Friday: 9:00 AM - 4:00 PM,,NYC Open Data: hiv_testing,
Urban Health Plan,Urban Health Plan Plaza Del Castillo Health Center,Bronx,40.655136,-73.946214,(718) 589-1600,http://www.urbanhealthplan.org/content/plaza-del-castillo-health-center,HIV Testing,true,true,false,false,Monday: 8:00 AM - 6:00 PM; Tuesday: 8:00 AM - 6:00 PM; Wednesday: 8:00 AM - 6:00 PM; Thursday: 8:00 AM - 6:00 PM; Friday: 8:00 AM - 6:00 PM; Saturday: 9:00 AM- 1:00 PM,,NYC Open Data: hiv_testing,
Abundant Life Christian Center,Abundant Life Christian Center,Brooklyn,,,(718) 566-2601,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Arthur Ashe Urban Health,Arthur Ashe Institute for Urban Health,Brooklyn,,,718-222-5953,http://www.arthurasheinstitute.org/arthurashe/home/,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Brownsville Multi-Service Family Health Center,Brownsville Multi-Service Family Health Center - Institute for Speciality and Integrative Services,Brooklyn,40.698306,-73.74576,(718) 345-5000 ext. 4719,www.bmsfhc.wix.com/bms-family-health,HIV Testing,true,true,false,false,Monday: 8:30 AM - 4:30 PM; Tuesday: 8:30 AM - 4:30 PM; Wednesday: 8:30 AM - 4:30 PM; Thursday: 8:30 AM - 7:00 PM; Friday: 8:30 AM - 4:30 PM,,NYC Open Data: hiv_testing,
CAMBA (Church Avenue Merchants Block Association),CAMBA (Church Avenue Merchants Block Association) - Project Accept LGBT Youth (ALY),Brooklyn,40.6952,-73.94309,(718) 675-3372,http://www.camba.org/projectaly,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Caribbean Women's Health Association,Caribbean Women's Health Association,Brooklyn,,,(718) 826-2942,www.cwha.org,HIV Testing,true,true,false,false,Monday: 9:30 AM - 4:30 PM; Tuesday: 9:30 AM - 4:30 PM; Wednesday: 9:30 AM - 4:30 PM; Thursday: 9:30 AM - 4:30 PM; Friday: 9:30 AM - 4:30 PM,,NYC Open Data: hiv_testing,
Christian Fellowship Seventh-day Adventist Church,Christian Fellowship Seventh-day Adventist Church,Brooklyn,,,(718) 469-2050,http://www.christianfellowshipsda.org/,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - CABS Health Center,Brooklyn,,,(718) 388-0390,http://www.chnnyc.org/our-locations/cabs-health-center,HIV Testing,true,true,false,false,Monday: 9:00AM - 5:00PM; Tuesday: 12:30 PM - 6:00 PM; Wednesday: 10:00AM - 6:00PM; Thursday: 9:00AM - 5:00PM; Friday: 9:00AM - 5:00PM; Saturday: 9:00AM - 4:00PM,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - Caribbean House Health Center,Brooklyn,,,(718) 778-0198,http://www.chnnyc.org/our-locations/caribbean-house-health-center,HIV Testing,true,true,false,false,Monday: 9:00AM - 5:00PM; Tuesday: 10:00 PM - 8:00 PM; Wednesday: 9:00AM - 5:00PM; Thursday: 9:00AM - 5:00PM; Friday: 9:00AM - 5:00PM; Saturday: 8:30 AM- 3:30 PM,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - Dr Betty Shabazz Health Center,Brooklyn,40.655136,-73.946214,(718)-277-8303,http://www.chnnyc.org/our-locations/dr-betty-shabazz-health-center,HIV Testing,true,true,false,false,Monday: 9:00AM - 5:00PM; Tuesday: 9:00 AM - 6:00 PM; Wednesday: 9:00 AM - 5:00 PM; Thursday: 9:00 AM - 6:00 PM; Friday: 9:00 AM - 5:00 PM; Saturday: 9:00AM - 4:00PM,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network- CABS Health Center,Brooklyn,,,718-388-0390,,HIV Testing,true,true,false,false,Monday: 9:00 AM - 5:00 PM; Tuesday: 10:00 AM- 6:00 PM; Wednesday: 10:00 AM- 6:00 PM; Thursday: 9:00 AM - 5:00 PM; Friday: 9:00 AM - 5:00 PM; Saturday: 9:00 AM- 4:00 PM,,NYC Open Data: hiv_testing,
Fort Greene Express Clinic,"295 Flatbush Avenue Extension, First Floor, Brooklyn, NY 11201",Brooklyn,40.691771,-73.982058,,https://www.nyc.gov/site/doh/services/sexual-health-clinics.page,DOH,true,true,true,true,,true,NYC Health Department Website,
Fort Greene Sexual Health Clinic,"295 Flatbush Avenue Extension, Second Floor, Brooklyn, NY 11201",Brooklyn,40.691771,-73.982058,,https://www.nyc.gov/site/doh/services/sexual-health-clinics.page,DOH,true,true,true,true,,true,NYC Health Department Website,
HHC Cumberland Diagnostic and Treatment Center,HHC Cumberland Diagnostic and Treatment Center,Brooklyn,,,(718) 260-7500,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Cumberland.shtml,HIV Testing,true,true,false,false,Monday: 8:00 AM - 7:00 PM; Tuesday: 8:00 AM - 5:00 PM; Wednesday: 8:00 AM - 7:00 PM; Thursday: 8:00 AM - 5:00 PM; Friday: 8:00 AM - 5:00 PM,,NYC Open Data: hiv_testing,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.
HHC East New York Diagnostic and Treatment Center,HHC East New York Diagnostic and Treatment Center,Brooklyn,,,(718) 240-0400,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-EastNY.shtml,HIV Testing,true,true,false,false,Monday: 8:30 AM - 4:00 PM; Tuesday: 8:30 AM - 4:00 PM; Wednesday: 8:30 AM - 4:00 PM; Thursday: 8:30 AM - 4:00 PM; Friday: 8:30 AM - 4:00 PM; Saturday: 8:30 AM - 4:00 PM,,NYC Open Data: hiv_testing,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.
HHC Ida G. Israel Community Health Center,HHC Ida G. Israel Community Health Center,Brooklyn,40.655136,-73.946214,(718) 946-3400,,HIV Testing,true,true,false,false,Monday: 8:30 AM - 7:00 PM; Tuesday: 8:30 AM - 5:00 PM; Wednesday: 8:30 AM - 5:00 PM; Thursday: 8:30 AM - 5:00 PM; Friday: 8:30 AM - 5:00 PM; Saturday: 8:30 AM - 1:00 PM,,NYC Open Data: hiv_testing,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.
Housing Works Housing Works,Housing Works Community Health Care - East New York Health Center,Brooklyn,40.655136,-73.946214,718-277-0386,,HIV Testing,true,true,false,false,Monday: 9:00AM - 5:00PM; Tuesday: 9:00AM - 5:00PM; Wednesday: 9:00AM - 5:00PM; Thursday: 9:00AM - 9:00PM; Sunday: 9:00AM - 3:00PM,,NYC Open Data: hiv_testing,
Housing Works Housing Works,East New York Community Health Center,Brooklyn,40.655136,-73.946214,718-827-8700,,HIV Testing,true,true,false,false,Monday: 9:00 AM- 5:00 PM; Tuesday: 9:00 AM- 5:00 PM; Wednesday: 9:00 AM- 5:00 PM; Thursday: 9:00 AM- 5:00 PM; Friday: 9:00 AM- 5:00 PM,,NYC Open Data: hiv_testing,
MIC Women's Health Center,MIC Women's Health Center--Fort Greene,Brooklyn,,,718-522-1144,,HIV Testing,true,true,false,false,Monday: 9:00 AM- 5:00 PM; Tuesday: 9:00 AM- 5:00 PM; Wednesday: 9:00 AM- 5:00 PM; Thursday: 9:00 AM- 5:00 PM; Friday: 9:00 AM- 5:00 PM,,NYC Open Data: hiv_testing,
MIC Women's Health Center,MIC Women's Health Services - Fort Greene,Brooklyn,,,(718) 522-1144,,HIV Testing,true,true,false,false,Monday: 9:00 AM - 5:00 PM; Tuesday: 9:00 AM - 5:00 PM; Wednesday: 9:00 AM - 5:00 PM; Thursday: 9:00 AM - 5:00 PM; Friday: 9:00 AM - 5:00 PM; Saturday: Every other Sat: 8:30 AM - 4:00 PM,,NYC Open Data: hiv_testing,
MIC Women's Health Center,MIC Women's Health Services - Bushwick,Brooklyn,,,(718) 443-9300,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
MIC Women's Health Center,MIC Women's Health Services - Eastern Parkway,Brooklyn,40.67103,-73.9575,(718) 498-1001,,HIV Testing,true,true,false,false,Monday: 9:00 AM - 5:00 PM; Tuesday: 9:00 AM - 5:00 PM; Wednesday: 9:00 AM - 5:00 PM; Thursday: 9:00 AM - 5:00 PM; Friday: 9:00 AM - 5:00 PM,,NYC Open Data: hiv_testing,
MIC Women's Health Center,MIC Women's Health Center- Eastern Parkway,Brooklyn,40.67103,-73.9575,718-498-1001,,HIV Testing,true,true,false,false,Monday: 9:00 AM- 5:00 PM; Tuesday: 9:00 AM- 5:00 PM; Wednesday: 9:00 AM- 5:00 PM; Thursday: 9:00 AM- 5:00 PM; Friday: 9:00 AM- 5:00 PM,,NYC Open Data: hiv_testing,
NYC DOHMH STD Control,Crown Heights STD Clinic,Brooklyn,,,N/A,,HIV Testing,true,true,false,false,Monday: 8:30 AM - 3:30 PM.; Tuesday: 8:30 AM - 3:30 PM.; Wednesday: 8:30 AM - 3:30 PM.; Thursday: 8:30 AM - 3:30 PM.; Friday: 8:30 AM - 3:30 PM.,,NYC Open Data: hiv_testing,
NYC DOHMH STD Control,Fort Greene STD Clinic,Brooklyn,,,N/A,,HIV Testing,true,true,false,false,Tuesday: 8:30 AM - 3:30 PM; Wednesday: 8:30 AM - 3:30 PM; Thursday: 8:30 AM - 3:30 PM; Friday: 8:30 AM - 3:30 PM; Saturday: 8:30 AM - 3:30 PM,,NYC Open Data: hiv_testing,
NYU Lutheran Medical Center,Lutheran Medical Center - Sunset Park Terrace/Women's Health Achieve Clinic,Brooklyn,40.647365,-74.01212,(718) 630-6891,,HIV Testing,true,true,false,false,Monday: 8:30 AM - 7:00 PM; Tuesday: 8:30 AM - 7:00 PM; Wednesday: 8:30 AM - 7:00 PM; Thursday: 8:30 AM - 7:00 PM; Friday: 8:30 AM - 7:00 PM; Saturday: 9:00 AM - 4:00 PM,,NYC Open Data: hiv_testing,
Planned Parenthood-New York City Chapter,Planned Parenthood Boro Hall Center (Brooklyn),Brooklyn,,,(212) 965-7000,http://www.plannedparenthood.org/health-center/new-york/brooklyn/11201/boro-hall-center-2522-91110,HIV Testing,true,true,false,false,Monday: 8 AM - 4:30 PM; Tuesday: 8:00 AM - 4:30 PM; Wednesday: 8:00 AM - 4:30 PM; Thursday: 8:00 AM - 7:00 PM; Friday: 8:00 AM - 4:30 PM; Saturday: 8:30 AM - 4 PM,,NYC Open Data: hiv_testing,
SUNY Downstate Medical Center Suny Downstate Medical Center,SUNY Downstate Medical Center STAR Health Center,Brooklyn,40.655136,-73.946214,(718) 270-7293,http://www.downstate.edu/hiv/AETC.html,HIV Testing,true,true,false,false,Monday: 9:00 AM - 3:00 PM; Tuesday: 9:00 AM - 3:00 PM; Wednesday: 9:00 AM - 3:00 PM,,NYC Open Data: hiv_testing,
APICHA Community Health Center,APICHA Community Health Center,Manhattan,40.77365,-73.96085,866-274-2429,https://apicha.org,HIV Testing,true,true,false,false,Monday: 10:00 AM - 4:30 PM; Tuesday: 10:00 AM - 4:30 PM; Wednesday: 12:00 PM - 6:30 PM; Thursday: 10:00 AM - 4:30 PM; Friday: 10:00 AM - 4:30 PM,,NYC Open Data: hiv_testing,
APICHA Community Health Center,400 Broadway,Manhattan,40.718702,-74.002464,"tau@apicha.org, vvacharakitja@apicha.org",https://apicha.org/,HIV Testing,false,true,false,false,,,NYC Open Data: hiv_services,
Audubon Family Planning Center,Audubon Family Planning Center,Manhattan,,,(866) 463-2778,http://www.youngmensclinic.org/,HIV Testing,true,true,false,false,Monday: 8:00 AM - 8:30 PM; Tuesday: 8:00 AM - 7:30 PM; Wednesday: 8:00 AM - 7:30 PM; Thursday: 8:00 AM - 5:00 PM; Friday: 9:00 AM - 5:00 PM,,NYC Open Data: hiv_testing,
Callen Lorde Community Health Center,Callen Lorde Community Health Center,Manhattan,40.655136,-73.946214,212-271-7200,www.callen-lorde.org,HIV Testing,true,true,false,false,Monday: 8:30 AM -8:30 PM; Tuesday: 8:30 AM - 8:30 PM; Wednesday: 8:30 AM - 8:30 PM; Thursday: 8:30 AM - 8:30 PM; Friday: 8:30 AM - 4:30 PM; Saturday: 8:30 AM - 3:30 PM,,NYC Open Data: hiv_testing,
Callen Lorde Community Health Center,Community Health Project,Manhattan,40.77365,-73.96085,(212) 627-3769,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Callen-Lorde Community Health Center,356 West 18th Street,Manhattan,40.742905,-74.00227,"ahardikar@callen-lorde.org, ngoykhberg@callen-lorde.org, ashardikar@gmail.com",callen-lorde.org/,HIV Testing,false,true,false,false,,,NYC Open Data: hiv_services,
Central Harlem Sexual Health Clinic,"2238 Fifth Avenue, First Floor, Manhattan, NY 10037",Manhattan,40.813864,-73.93715,,https://www.nyc.gov/site/doh/services/sexual-health-clinics.page,DOH,true,true,true,true,,true,NYC Health Department Website,
Charles B Wang Community Health Center - Teens,Charles B Wang Community Health Center - Teens,Manhattan,40.655136,-73.946214,(212) 226-3888,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Charles B Wang Community Health Center - Teens,Charles B Wang Community Health Center - Canal,Manhattan,40.655136,-73.946214,(212) 379-6996,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Chelsea Express Clinic,"303 9th Avenue, First Floor, Manhattan, NY 10001",Manhattan,40.749585,-73.99983,,https://www.nyc.gov/site/doh/services/sexual-health-clinics.page,DOH,true,true,true,true,,true,NYC Health Department Website,
Chelsea Sexual Health Clinic,"303 9th Avenue, First Floor, Manhattan, NY 10001",Manhattan,40.749585,-73.99983,,https://www.nyc.gov/site/doh/services/sexual-health-clinics.page,DOH,true,true,true,true,,true,NYC Health Department Website,
Clinic - Lenox Avenue,Clinic - Lenox Avenue,Manhattan,40.841014,-73.940741,(212) 961-5742,,HIV Testing,true,true,false,false,Monday: 11:00 AM - 7:00 PM; Tuesday: 9:00 AM - 5:00 PM; Wednesday: 9:00 AM - 5:00 PM; Thursday: 9:00 AM - 5:00 PM; Friday: 9:00 AM - 7:00 PM,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - Seward Park Campus SBHC,Manhattan,,,212-432-8490,http://www.chnnyc.org/our-locations/seward-park-campus-sbhc,HIV Testing,true,true,false,false,Monday: OPEN DURING SCHOOL HOURS; Tuesday: OPEN DURING SCHOOL HOURS; Wednesday: OPEN DURING SCHOOL HOURS; Thursday: OPEN DURING SCHOOL HOURS; Friday: OPEN DURING SCHOOL HOURS,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - Administration Office,Manhattan,,,(212) 545-2439,http://www.chnnyc.org/,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - Community League Health Center,Manhattan,40.77365,-73.96085,(212)-781-7979,http://www.chnnyc.org/our-locations/community-league-health-center,HIV Testing,true,true,false,false,Monday: 9:30 AM- 6:00 PM; Tuesday: 8:30 AM-5:00 PM; Wednesday: 10:30 AM- 7:00 PM; Thursday: 8:30 AM-5:00 PM; Friday: 8:30 AM-5:00 PM; Saturday: 9:00 AM - 4:00 PM,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - Catherine M. Abate Center,Manhattan,,,(212)-477-1120,http://www.chnnyc.org/our-locations/catherine-m-abate-health-center-formerly-the-downtown-health-center,HIV Testing,true,true,false,false,Monday: 9:00 AM - 5:00 PM; Tuesday: :00 AM - 5:00 PM; Wednesday: 9:00 AM - 7:00 PM; Thursday: 9:00 AM - 7:00 PM; Friday: :00 AM - 5:00 PM; Saturday: 8:30 AM - 3:30 PM,,NYC Open Data: hiv_testing,
